Bedrooms,Yr Built (Non-Renovated Non-Waterfront),Yr Built (Renovated Non-Waterfront),Renovation Year (Renovated Non-Waterfront),Price (Non-Renovated Non-Waterfront),Price (Renovated Non-Waterfront)
0,1983,0,0,409503.8461538461,0.0
1,1943,1931,1985,305185.81355932204,357626.17647058825
2,1956,1932,1987,393820.7482863671,438249.7572815534
3,1973,1940,1996,453663.99595959595,608064.5267605634
4,1978,1939,1998,617057.0635308491,868462.5034013606
5,1975,1943,1998,751705.2727272727,985136.4
6,1965,1940,1994,760504.5243902439,1165113.6363636365
7,1964,1949,2001,935359.3235294118,1085700.0
8,1956,0,0,1105076.923076923,0.0
9,1935,1915,2010,816799.8,1280000.0
10,1959,0,0,819333.3333333334,0.0
11,0,1918,1999,0.0,520000.0
33,1947,0,0,640000.0,0.0
